timestamp_ns,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403715274312143104,0.878703000,2.142317000,0.947242000,0.060599988,-0.828404842,-0.059099989,-0.553696894
1403715274362142976,0.879045000,2.141483000,0.947123000,0.060488987,-0.828361821,-0.059010987,-0.553782881
1403715274412143104,0.879311000,2.140846000,0.947051000,0.060440995,-0.828428930,-0.059036995,-0.553684953
1403715274462142976,0.879510000,2.140426000,0.947015000,0.060456024,-0.828404336,-0.058848024,-0.553740224
1403715274512143104,0.879664001,2.140170998,0.947007000,0.060407006,-0.828354164,-0.059200007,-0.553783109
1403715274562142976,0.879727000,2.140066000,0.946999000,0.060633983,-0.828385773,-0.059107984,-0.553720848
1403715274612143104,0.879752000,2.140001000,0.947011000,0.060672002,-0.828336030,-0.059221002,-0.553779020
1403715274662142976,0.879781000,2.139985000,0.947024000,0.060485007,-0.828304099,-0.059316007,-0.553837066
1403715274712143104,0.879718000,2.140068002,0.947090001,0.060653997,-0.828201920,-0.059160998,-0.553987950
1403715274762142976,0.879703000,2.140171000,0.947082000,0.060528979,-0.828222714,-0.059120980,-0.553974809
1403715274812143104,0.879714000,2.140288000,0.947080000,0.060572988,-0.828226832,-0.059007988,-0.553975888
1403715274862142976,0.879657000,2.140380000,0.947092000,0.060617036,-0.828195491,-0.058929035,-0.554026328
1403715274912143104,0.879640000,2.140572000,0.947067000,0.060664961,-0.828212469,-0.058891962,-0.553999645
1403715274962142976,0.879646000,2.140727000,0.947051000,0.060817985,-0.828240795,-0.058803985,-0.553949863
1403715275012143104,0.879608999,2.140880001,0.947090000,0.060864006,-0.828235079,-0.058722005,-0.553962051
1403715275062142976,0.879533000,2.141055000,0.947101000,0.060925992,-0.828226886,-0.058698992,-0.553969924
1403715275112143104,0.879527000,2.141170000,0.947096000,0.061021995,-0.828248935,-0.058636995,-0.553932957
1403715275162142976,0.879510000,2.141231000,0.947110000,0.061018000,-0.828270996,-0.058622000,-0.553901997
1403715275212143104,0.879469000,2.141263000,0.947160000,0.061082024,-0.828241329,-0.058566022,-0.553945221
1403715275262142976,0.879472000,2.141307000,0.947156000,0.061179007,-0.828265098,-0.058480007,-0.553908066
1403715275312143104,0.879465000,2.141333000,0.947144000,0.061234025,-0.828265335,-0.058427024,-0.553907224
1403715275362142976,0.879446000,2.141352000,0.947122000,0.061245985,-0.828279794,-0.058430985,-0.553883862
1403715275412143104,0.879439000,2.141337000,0.947093000,0.061273015,-0.828279199,-0.058399014,-0.553885133
1403715275462142976,0.879433000,2.141309000,0.947092000,0.061264024,-0.828261329,-0.058386023,-0.553914220
1403715275512143104,0.879451000,2.141296000,0.947098000,0.061284994,-0.828263935,-0.058319995,-0.553914958
1403715275562142976,0.879452000,2.141243000,0.947070000,0.061297006,-0.828251082,-0.058261006,-0.553939055
1403715275612143104,0.879420000,2.141168000,0.947026000,0.061309002,-0.828285028,-0.058232002,-0.553890019
1403715275662142976,0.879391000,2.141133000,0.946992000,0.061367001,-0.828289009,-0.058200001,-0.553881006
1403715275712143104,0.879403000,2.141126000,0.946936000,0.061424012,-0.828300143,-0.058247011,-0.553853094
1403715275762142976,0.879411000,2.141104000,0.946897000,0.061476992,-0.828308889,-0.058229992,-0.553835926
