timestamp_ns,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1403715888384058112,0.891397615,1.982681539,0.935615396,0.351470537,-0.544700405,0.618381979,-0.444267552
1403715888434057984,0.891639941,1.982173913,0.935289503,0.351449540,-0.544696043,0.618420642,-0.444235692
1403715888484058112,0.891813932,1.981790256,0.935030722,0.351437962,-0.544724453,0.618432843,-0.444193030
1403715888534057984,0.891939452,1.981544226,0.934844427,0.351480523,-0.544724001,0.618444373,-0.444143853
1403715888584058112,0.892014876,1.981388224,0.934717950,0.351422130,-0.544751050,0.618478186,-0.444109799
1403715888634057984,0.892044599,1.981317937,0.934652159,0.351417782,-0.544727803,0.618514051,-0.444091805
1403715888684058112,0.892044011,1.981302358,0.934642999,0.351385511,-0.544750334,0.618521516,-0.444079307
1403715888734057984,0.892010899,1.981322172,0.934636926,0.351403342,-0.544745540,0.618545174,-0.444038125
1403715888784058112,0.891950612,1.981360463,0.934647627,0.351374139,-0.544784365,0.618547641,-0.444010165
1403715888834057984,0.891898268,1.981415410,0.934664263,0.351356838,-0.544790402,0.618575551,-0.443977564
1403715888884058112,0.891873921,1.981463774,0.934658887,0.351338646,-0.544806722,0.618592587,-0.443948197
1403715888934057984,0.891856124,1.981500733,0.934676978,0.351338110,-0.544809624,0.618610836,-0.443919632
1403715888984058112,0.891813049,1.981512629,0.934693641,0.351325641,-0.544810442,0.618635117,-0.443894660
1403715889034057984,0.891786326,1.981527528,0.934711375,0.351295648,-0.544835663,0.618631282,-0.443892786
1403715889084058112,0.891783885,1.981566608,0.934724006,0.351267290,-0.544846077,0.618649324,-0.443877299
1403715889134057984,0.891788161,1.981584738,0.934730619,0.351234937,-0.544859790,0.618670561,-0.443856469
1403715889184058112,0.891786525,1.981603028,0.934749841,0.351246019,-0.544850239,0.618669791,-0.443860498
1403715889234057984,0.891792979,1.981603544,0.934740118,0.351197284,-0.544869427,0.618689060,-0.443848649
1403715889284058112,0.891777053,1.981611532,0.934723787,0.351173170,-0.544879689,0.618702829,-0.443835937
1403715889334057984,0.891764996,1.981621932,0.934692500,0.351172301,-0.544907468,0.618690831,-0.443819244
1403715889384058112,0.891742721,1.981612410,0.934698774,0.351155410,-0.544925887,0.618690323,-0.443810703
1403715889434057984,0.891733527,1.981578342,0.934710992,0.351131894,-0.544910075,0.618703840,-0.443829879
1403715889484058112,0.891738413,1.981569928,0.934703036,0.351134205,-0.544894878,0.618714145,-0.443832343
1403715889534057984,0.891756288,1.981600568,0.934704627,0.351145357,-0.544882130,0.618720068,-0.443830913
1403715889584058112,0.891758259,1.981636913,0.934706121,0.351129983,-0.544899897,0.618716171,-0.443826698
1403715889634057984,0.891778079,1.981661625,0.934719168,0.351141516,-0.544906777,0.618703536,-0.443826739
1403715889684058112,0.891789762,1.981665712,0.934737742,0.351123133,-0.544900290,0.618716478,-0.443831206
1403715889734057984,0.891759468,1.981765208,0.934737121,0.351248740,-0.544979150,0.618665824,-0.443705587
1403715889784058112,0.891676481,1.981738308,0.934726690,0.351160375,-0.544942623,0.618759917,-0.443689187
1403715889834057984,0.891629274,1.981706874,0.934794272,0.351205930,-0.544807378,0.618692817,-0.443912732
1403715889884058112,0.891609794,1.981690541,0.934783726,0.351253028,-0.544734901,0.618717922,-0.443929421
1403715889934057984,0.891607627,1.981658238,0.934791355,0.351156613,-0.544532016,0.618835123,-0.444091215
1403715889984058112,0.891594759,1.981611248,0.934807644,0.351044568,-0.544506638,0.618903358,-0.444115824
1403715890034057984,0.891614763,1.981591170,0.934807976,0.351093265,-0.544477299,0.619005592,-0.443970796
1403715890084058112,0.891631380,1.981518830,0.934811053,0.351101147,-0.544545925,0.618954014,-0.443952305
1403715890134057984,0.891617782,1.981460357,0.934794979,0.351140591,-0.544437859,0.619095156,-0.443856836
1403715890184058112,0.891640696,1.981407621,0.934824295,0.351181250,-0.544577633,0.618957128,-0.443845700
1403715890234057984,0.891635727,1.981382579,0.934818904,0.351142615,-0.544560695,0.618942650,-0.443917233
1403715890284058112,0.891641784,1.981410051,0.934778522,0.351050678,-0.544609989,0.619098269,-0.443712424
1403715890334057984,0.891671388,1.981452907,0.934791132,0.351020850,-0.544799288,0.618973776,-0.443677318
1403715890384058112,0.891706096,1.981484636,0.934763002,0.351141063,-0.544735376,0.619030968,-0.443580865
1403715890434057984,0.891771629,1.981523463,0.934713263,0.351005821,-0.544934732,0.619024836,-0.443451581
1403715890484058112,0.891797292,1.981592884,0.934714534,0.351072339,-0.545018156,0.618932884,-0.443424748
1403715890534057984,0.891775602,1.981660801,0.934710439,0.350983740,-0.544927674,0.619025928,-0.443476206
1403715890584058112,0.891782338,1.981711566,0.934750211,0.350762116,-0.544993780,0.619094845,-0.443474116
1403715890634057984,0.891787505,1.981731107,0.934778184,0.350619598,-0.545126937,0.618977652,-0.443586728
1403715890684058112,0.891750059,1.981824338,0.934756005,0.350741868,-0.544994868,0.618971043,-0.443661564
1403715890734057984,0.891758498,1.981920298,0.934803605,0.350626060,-0.545220751,0.618841597,-0.443656147
1403715890784058112,0.891777902,1.982019301,0.934831787,0.350655258,-0.545266161,0.618822207,-0.443604306
1403715890834057984,0.891795068,1.982010752,0.934924442,0.350723821,-0.545205856,0.618717007,-0.443770934
1403715890884058112,0.891812825,1.981959936,0.934955775,0.350736066,-0.545143035,0.618715889,-0.443839985
1403715890934057984,0.891838331,1.981893134,0.934918489,0.350739817,-0.545085982,0.618814011,-0.443770293
1403715890984058112,0.891797005,1.981822936,0.934925514,0.350735205,-0.545107904,0.618755611,-0.443828439
1403715891034057984,0.891763180,1.981742243,0.934910161,0.350753752,-0.545060511,0.618771178,-0.443850284
1403715891084058112,0.891746054,1.981673967,0.934870433,0.350736561,-0.545050105,0.618757884,-0.443895177
1403715891134057984,0.891752620,1.981653005,0.934814342,0.350811119,-0.545082962,0.618769054,-0.443780331
1403715891184058112,0.891729977,1.981656533,0.934823504,0.350765414,-0.545040414,0.618751710,-0.443892885
1403715891234057984,0.891762491,1.981672222,0.934789166,0.350789913,-0.545051230,0.618768379,-0.443837005
1403715891284058112,0.891793309,1.981674782,0.934737357,0.350771443,-0.545073386,0.618807841,-0.443769371
1403715891334057984,0.891729356,1.981661443,0.934702842,0.350801461,-0.545027690,0.618804307,-0.443806694
1403715891384058112,0.891688190,1.981687247,0.934686813,0.350792527,-0.545017041,0.618844054,-0.443771411
1403715891434057984,0.891671254,1.981712075,0.934682387,0.350750087,-0.545024548,0.618828236,-0.443817792
1403715891484058112,0.891657088,1.981729359,0.934640396,0.350731366,-0.545082872,0.618823431,-0.443767656
1403715891534057984,0.891633572,1.981767279,0.934665410,0.350763174,-0.545085522,0.618802782,-0.443768054
1403715891584058112,0.891615696,1.981784852,0.934722930,0.350862970,-0.544976096,0.618815100,-0.443806381
1403715891634057984,0.891632225,1.981795318,0.934763371,0.350825157,-0.544973275,0.618846603,-0.443795811
1403715891684058112,0.891649015,1.981818913,0.934803687,0.350852082,-0.545004306,0.618821515,-0.443771401
1403715891734057984,0.891662425,1.981834368,0.934838318,0.350872036,-0.544997722,0.618856061,-0.443715533
1403715891784058112,0.891696461,1.981827658,0.934875452,0.350934840,-0.544897939,0.618865893,-0.443774696
1403715891834057984,0.891668662,1.981847020,0.935047617,0.351256978,-0.544677775,0.618708256,-0.444009854
