timestamp_ns,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1413393213505760512,-1.080552092,0.427253930,1.307723910,0.434033847,-0.566855586,-0.556018304,0.425597239
1413393213555760384,-1.081836234,0.427173805,1.307526909,0.434026971,-0.566890907,-0.555988705,0.425595874
1413393213605760512,-1.082758261,0.427121872,1.307392554,0.433999922,-0.566955609,-0.555933340,0.425609594
1413393213655760384,-1.083346810,0.427090342,1.307326036,0.434006427,-0.566988747,-0.555901496,0.425600411
1413393213705760512,-1.083681563,0.427021080,1.307269961,0.433953150,-0.567001167,-0.555891115,0.425651746
1413393213755760384,-1.083821567,0.426976659,1.307261906,0.433867141,-0.567036000,-0.555904259,0.425675855
1413393213805760512,-1.083842761,0.426965929,1.307193635,0.433874809,-0.567054397,-0.555893187,0.425657991
1413393213855760384,-1.083798037,0.426933651,1.307201788,0.433870132,-0.567069342,-0.555866801,0.425677307
1413393213905760512,-1.083666043,0.426900075,1.307228912,0.433752471,-0.567140069,-0.555916239,0.425638428
1413393213955760384,-1.083518994,0.426802635,1.307309646,0.433643210,-0.567148481,-0.555985686,0.425647841
1413393214005760512,-1.083467324,0.426796504,1.307527779,0.433492045,-0.567222628,-0.556040041,0.425632012
1413393214055760384,-1.083386406,0.426914366,1.307491916,0.433777971,-0.567354727,-0.555801390,0.425476321
1413393214105760512,-1.083309380,0.426981476,1.307571468,0.433494849,-0.567506936,-0.555914327,0.425414334
1413393214155760384,-1.083236230,0.426994722,1.307534419,0.433596539,-0.567404208,-0.555870280,0.425505275
1413393214205760512,-1.083115030,0.426936477,1.307583520,0.433372569,-0.567516742,-0.555848568,0.425611717
1413393214255760384,-1.083140448,0.427005586,1.307521327,0.433555718,-0.567378654,-0.555904163,0.425536678
1413393214305760512,-1.083090600,0.426886790,1.307463501,0.433462637,-0.567463478,-0.555856689,0.425580409
1413393214355760384,-1.083045338,0.426867121,1.307422489,0.433442205,-0.567467241,-0.555805335,0.425663265
1413393214405760512,-1.083052504,0.426879200,1.307397778,0.433462998,-0.567440270,-0.555874336,0.425587937
1413393214455760384,-1.083012290,0.426863891,1.307408894,0.433401234,-0.567438397,-0.555799416,0.425751153
1413393214505760512,-1.082999560,0.426930901,1.307367430,0.433449703,-0.567431445,-0.555847520,0.425648263
1413393214555760384,-1.082937989,0.426903995,1.307392192,0.433334075,-0.567481362,-0.555758729,0.425815357
1413393214605760512,-1.082893849,0.426907214,1.307343828,0.433370450,-0.567473011,-0.555805307,0.425728663
1413393214655760384,-1.082855386,0.426862631,1.307377174,0.433317690,-0.567496614,-0.555763134,0.425805956
1413393214705760512,-1.082833251,0.426798936,1.307369946,0.433285845,-0.567500667,-0.555723675,0.425884452
1413393214755760384,-1.082835301,0.426785485,1.307334889,0.433319104,-0.567500858,-0.555737096,0.425832844
1413393214805760512,-1.082825184,0.426752923,1.307304509,0.433243131,-0.567560449,-0.555665963,0.425923541
1413393214855760384,-1.082816847,0.426763744,1.307270873,0.433278352,-0.567565156,-0.555660907,0.425888037
1413393214905760512,-1.082804670,0.426781234,1.307257090,0.433284226,-0.567551247,-0.555689850,0.425862832
1413393214955760384,-1.082777844,0.426773933,1.307320919,0.433241633,-0.567585187,-0.555657186,0.425903550
1413393215005760512,-1.082752707,0.426779070,1.307422152,0.433241318,-0.567619530,-0.555645475,0.425873378
1413393215055760384,-1.082762716,0.426852038,1.307523676,0.433330658,-0.567705465,-0.555765647,0.425510978
1413393215105760512,-1.082769450,0.426810643,1.307573864,0.432951593,-0.567799307,-0.555742435,0.425801845
1413393215155760384,-1.082812893,0.426799709,1.307496875,0.433119583,-0.567656828,-0.555717751,0.425853183
1413393215205760512,-1.082845116,0.426832531,1.307481897,0.433045641,-0.567653911,-0.555856786,0.425750800
1413393215255760384,-1.082890891,0.426797435,1.307433505,0.433051766,-0.567683815,-0.555756114,0.425836114
1413393215305760512,-1.082912299,0.426832581,1.307430531,0.433071285,-0.567694833,-0.555772188,0.425780594
1413393215355760384,-1.082904925,0.426820688,1.307420410,0.433075456,-0.567736931,-0.555712008,0.425798768
1413393215405760512,-1.082796398,0.426842002,1.307513981,0.432918412,-0.567866720,-0.555777113,0.425700407
1413393215455760384,-1.082803352,0.426870850,1.307587744,0.432833277,-0.567878023,-0.555942736,0.425555612
1413393215505760512,-1.082863437,0.426854833,1.307668290,0.432695907,-0.568057224,-0.555898776,0.425513564
1413393215555760384,-1.082984108,0.426905326,1.307826814,0.432640504,-0.568096064,-0.555972964,0.425421109
1413393215605760512,-1.083277785,0.426926272,1.307892907,0.432679343,-0.568072178,-0.556038032,0.425328454
1413393215655760384,-1.083586175,0.426908085,1.308041684,0.432370564,-0.568327085,-0.556009295,0.425339491
1413393215705760512,-1.083754026,0.426969747,1.308124773,0.431916981,-0.568658902,-0.556341652,0.424922041
1413393215755760384,-1.083664444,0.426966976,1.308105198,0.431626997,-0.568893732,-0.556624660,0.424531560
1413393215805760512,-1.083421810,0.426959656,1.308193328,0.431383375,-0.569006185,-0.556897868,0.424270089
1413393215855760384,-1.083192705,0.427027834,1.308155348,0.431126948,-0.569169426,-0.557054586,0.424106009
1413393215905760512,-1.083100077,0.427029137,1.308109130,0.430966613,-0.569233604,-0.557091131,0.424134830
1413393215955760384,-1.083099886,0.427022979,1.308183675,0.430783480,-0.569362398,-0.557017021,0.424245321
1413393216005760512,-1.082925242,0.427024600,1.308281227,0.431015132,-0.569186459,-0.557047379,0.424206257
1413393216055760384,-1.082951136,0.426925869,1.308353660,0.431213549,-0.569017793,-0.557182661,0.424053191
1413393216105760512,-1.083021140,0.426918711,1.308227006,0.431159796,-0.569093406,-0.557225926,0.423949517
1413393216155760384,-1.083164774,0.426785931,1.308152841,0.431387170,-0.568843379,-0.557067582,0.424261745
1413393216205760512,-1.083216973,0.426656817,1.308206837,0.431314663,-0.568881946,-0.557305668,0.423970972
1413393216255760384,-1.083471670,0.426724708,1.308356003,0.430488846,-0.569344943,-0.557854944,0.423466116
1413393216305760512,-1.083790929,0.426824081,1.308477632,0.429574699,-0.569998571,-0.558347907,0.422865017
1413393216355760384,-1.083886011,0.427062865,1.308350930,0.429214816,-0.570439616,-0.558410913,0.422552409
1413393216405760512,-1.083560591,0.427065955,1.308219515,0.428694892,-0.570684059,-0.558777336,0.422265654
1413393216455760384,-1.083644969,0.427011358,1.308623995,0.428959452,-0.570412040,-0.558946211,0.422141004
1413393216505760512,-1.083663503,0.427306992,1.308444891,0.427940200,-0.571615041,-0.559709478,0.420533863
1413393216555760384,-1.083568547,0.427880797,1.308419900,0.428065220,-0.572341986,-0.559703048,0.419424983
1413393216605760512,-1.083430788,0.428422139,1.308346818,0.427549450,-0.573466147,-0.559001215,0.419351509
1413393216655760384,-1.083707532,0.428996540,1.308993475,0.428701990,-0.573264615,-0.558418196,0.419227149
1413393216705760512,-1.083540397,0.429667564,1.310321071,0.431091676,-0.572583429,-0.558309672,0.417849847
1413393216755760384,-1.083021442,0.430589864,1.311570277,0.433413163,-0.572334318,-0.558320358,0.415770173
1413393216805760512,-1.082332752,0.431370467,1.314444375,0.435797383,-0.571678998,-0.558321185,0.414175349
1413393216855760384,-1.081390244,0.431897486,1.318770112,0.437992448,-0.571041413,-0.557970720,0.413210595
1413393216905760512,-1.080014197,0.432267061,1.324489480,0.440746635,-0.570068573,-0.557098782,0.412801615
1413393216955760384,-1.078151533,0.432349861,1.330580807,0.442985757,-0.569233217,-0.557814110,0.410585658
1413393217005760512,-1.075824462,0.432074709,1.338475126,0.444036775,-0.569340590,-0.558253266,0.408700288
1413393217055760384,-1.072620102,0.431009468,1.348376627,0.443203250,-0.570362280,-0.559358417,0.406664370
