timestamp_ns,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1413393887255760384,-1.007360636,0.524098286,1.307634605,0.416745821,-0.551580456,-0.579632316,0.431402713
1413393887305760512,-1.008551781,0.523964853,1.307478824,0.416715835,-0.551611343,-0.579679556,0.431328704
1413393887355760384,-1.009422848,0.523873683,1.307420169,0.416742052,-0.551703108,-0.579587764,0.431309362
1413393887405760512,-1.010006151,0.523845938,1.307309934,0.416738641,-0.551802544,-0.579569670,0.431209758
1413393887455760384,-1.010397323,0.523809218,1.307329063,0.416605430,-0.551864897,-0.579593085,0.431227210
1413393887505760512,-1.010580414,0.523771032,1.307325082,0.416519140,-0.551830447,-0.579677771,0.431240821
1413393887555760384,-1.010650224,0.523805580,1.307418720,0.416452995,-0.551844119,-0.579657512,0.431314432
1413393887605760512,-1.010568226,0.523954726,1.307629693,0.416680409,-0.551843814,-0.579608467,0.431161069
1413393887655760384,-1.010367311,0.523967860,1.307915354,0.416688936,-0.551916226,-0.579266837,0.431519109
1413393887705760512,-1.010215015,0.523925565,1.307718437,0.416502255,-0.552058051,-0.579318764,0.431448200
1413393887755760384,-1.010159793,0.523935780,1.307812754,0.416573074,-0.552023532,-0.579225852,0.431548730
1413393887805760512,-1.009963052,0.523906283,1.307639155,0.416506288,-0.552052881,-0.579424753,0.431308573
1413393887855760384,-1.009839462,0.523837545,1.307621010,0.416434570,-0.552127671,-0.579339429,0.431396698
1413393887905760512,-1.009672758,0.523853026,1.307371745,0.416296618,-0.552253375,-0.579493716,0.431161650
1413393887955760384,-1.009558370,0.523759383,1.307370761,0.416216878,-0.552302672,-0.579392630,0.431311313
1413393888005760512,-1.009460299,0.523757940,1.307167375,0.416256593,-0.552278840,-0.579485109,0.431179243
1413393888055760384,-1.009480519,0.523713116,1.307157538,0.416104235,-0.552447339,-0.579497331,0.431094012
1413393888105760512,-1.009483874,0.523675820,1.307029360,0.416022340,-0.552450568,-0.579557991,0.431087367
1413393888155760384,-1.009456521,0.523697098,1.307101808,0.416156632,-0.552439330,-0.579407563,0.431174350
1413393888205760512,-1.009492848,0.523645629,1.306965055,0.415993391,-0.552503423,-0.579523219,0.431094310
1413393888255760384,-1.009483334,0.523623620,1.307039863,0.415990538,-0.552594739,-0.579465641,0.431057418
1413393888305760512,-1.009452826,0.523580175,1.307038946,0.415996049,-0.552586041,-0.579493061,0.431026387
1413393888355760384,-1.009443828,0.523541779,1.307174051,0.415925676,-0.552637328,-0.579423615,0.431121897
1413393888405760512,-1.009393187,0.523642207,1.307366681,0.416185674,-0.552571123,-0.579300083,0.431121853
1413393888455760384,-1.009402390,0.523643131,1.307412765,0.415941159,-0.552699615,-0.579423220,0.431027633
1413393888505760512,-1.009335322,0.523756893,1.307496217,0.415889004,-0.552717208,-0.579446995,0.431023439
1413393888555760384,-1.009174397,0.523828254,1.307651616,0.416020442,-0.552575068,-0.579304273,0.431270618
1413393888605760512,-1.009091268,0.523933425,1.307642049,0.415977617,-0.552588408,-0.579309012,0.431288468
1413393888655760384,-1.009237195,0.523909365,1.307878001,0.415922613,-0.552635148,-0.579212972,0.431410601
1413393888705760512,-1.009299736,0.523957804,1.307933750,0.415968530,-0.552574162,-0.579256934,0.431385422
1413393888755760384,-1.009390452,0.523937585,1.308096756,0.416012606,-0.552553998,-0.579083578,0.431601438
1413393888805760512,-1.009430736,0.523919785,1.308053045,0.416044729,-0.552474321,-0.579089630,0.431664347
1413393888855760384,-1.009438945,0.523874630,1.307926083,0.415851907,-0.552642707,-0.579101034,0.431619303
1413393888905760512,-1.009410071,0.524036648,1.307823763,0.415987437,-0.552567839,-0.579086244,0.431604400
1413393888955760384,-1.009314373,0.523946343,1.308001246,0.416000178,-0.552549022,-0.579000289,0.431731510
1413393889005760512,-1.009270904,0.523824427,1.308408538,0.416269777,-0.552313058,-0.578692051,0.432186614
1413393889055760384,-1.009188323,0.523798397,1.308421690,0.416407749,-0.552174328,-0.578834647,0.432039986
1413393889105760512,-1.009266587,0.523597633,1.308542814,0.416091911,-0.552385446,-0.578719532,0.432228578
1413393889155760384,-1.009329844,0.523573757,1.309020012,0.416240379,-0.552414043,-0.578400928,0.432475478
1413393889205760512,-1.009314998,0.523751292,1.309316176,0.416114582,-0.552346131,-0.578462231,0.432601264
1413393889255760384,-1.009466604,0.523813662,1.310022672,0.416438469,-0.552062210,-0.578292708,0.432878576
1413393889305760512,-1.009583041,0.523925498,1.310036933,0.415863136,-0.552174716,-0.578810675,0.432595813
1413393889355760384,-1.009528222,0.524230868,1.309776129,0.414955676,-0.553037158,-0.579346626,0.431647050
1413393889405760512,-1.009216685,0.524549594,1.309751394,0.413947844,-0.553878594,-0.579739610,0.431007739
1413393889455760384,-1.008477009,0.524958693,1.309761414,0.413551058,-0.554550411,-0.580077560,0.430069050
1413393889505760512,-1.007585306,0.525273156,1.309471595,0.411877774,-0.556071669,-0.580737875,0.428817582
1413393889555760384,-1.006324591,0.526021361,1.309438682,0.408833605,-0.558799876,-0.583348956,0.424619567
1413393889605760512,-1.005167029,0.527119628,1.310535393,0.406079844,-0.561448974,-0.585932428,0.420187338
1413393889655760384,-1.003654032,0.528969052,1.313346404,0.404160324,-0.563938005,-0.588973588,0.414413407
1413393889705760512,-1.002811701,0.531145184,1.319251838,0.405012102,-0.564140102,-0.592120861,0.408783597
1413393889755760384,-1.002400307,0.533408586,1.328283580,0.405054828,-0.564709626,-0.595921914,0.402381284
1413393889805760512,-1.003239472,0.535432510,1.341839669,0.406150340,-0.564578961,-0.598282739,0.397932485
1413393889855760384,-1.005391882,0.537015401,1.359789936,0.408455420,-0.563226562,-0.601644894,0.392381743
1413393889905760512,-1.009144023,0.537757268,1.382599053,0.412680054,-0.560089798,-0.604571024,0.387928432
1413393889955760384,-1.014829312,0.537165154,1.409679262,0.419363089,-0.555549187,-0.605492139,0.385848377
