timestamp_ns,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1413394882805760512,-1.053469005,0.427943999,1.332831000,0.604567296,0.026647010,-0.795379390,0.034058013
1413394882855760384,-1.054248996,0.427682000,1.332841000,0.604515640,0.026468987,-0.795423525,0.034082982
1413394882905760512,-1.054811000,0.427514000,1.332834000,0.604567367,0.026388016,-0.795393483,0.033929021
1413394882955760384,-1.055148000,0.427327000,1.332843000,0.604552875,0.026305995,-0.795408836,0.033890993
1413394883005760512,-1.055394000,0.427200000,1.332795000,0.604468944,0.026282998,-0.795469926,0.033971997
1413394883055760384,-1.055522000,0.427120000,1.332810000,0.604446944,0.026328998,-0.795483926,0.033999997
1413394883105760512,-1.055600000,0.427055000,1.332795000,0.604461783,0.026318991,-0.795470714,0.034052988
1413394883155760384,-1.055659000,0.427092999,1.332806000,0.604516973,0.026337999,-0.795430967,0.033987000
1413394883205760512,-1.055665000,0.427151000,1.332809000,0.604558724,0.026240988,-0.795403638,0.033958985
1413394883255760384,-1.055653000,0.427194000,1.332843000,0.604545861,0.026152994,-0.795414817,0.033993992
1413394883305760512,-1.055594999,0.427246000,1.332856000,0.604512059,0.026153004,-0.795440079,0.034004005
1413394883355760384,-1.055519001,0.427247000,1.332894000,0.604448806,0.026163991,-0.795481745,0.034144987
1413394883405760512,-1.055499000,0.427288000,1.332923000,0.604468956,0.026223998,-0.795463942,0.034156998
1413394883455760384,-1.055414000,0.427355000,1.332956000,0.604474084,0.026267004,-0.795458110,0.034169005
1413394883505760512,-1.055372000,0.427417000,1.332969000,0.604513179,0.026250008,-0.795431236,0.034116010
1413394883555760384,-1.055358000,0.427514000,1.333009000,0.604477086,0.026226004,-0.795462113,0.034054005
1413394883605760512,-1.055385000,0.427431000,1.333094000,0.604113287,0.026618013,-0.795732378,0.033891016
1413394883655760384,-1.055216001,0.427318001,1.333170001,0.604169893,0.026694989,-0.795673858,0.034193998
1413394883705760512,-1.055191000,0.427347000,1.333108000,0.604346588,0.026210982,-0.795541458,0.034524976
1413394883755760384,-1.055198000,0.427263000,1.333074000,0.604297037,0.026357002,-0.795584048,0.034299002
1413394883805760512,-1.055114999,0.427204000,1.332946000,0.604268020,0.026407000,-0.795613027,0.034098999
1413394883855760384,-1.055044000,0.427234000,1.332908001,0.604349914,0.026179994,-0.795551881,0.034248996
1413394883905760512,-1.055015000,0.427281000,1.332840000,0.604465016,0.026088001,-0.795467021,0.034259001
1413394883955760384,-1.054994000,0.427232000,1.332747000,0.604286980,0.026243999,-0.795600974,0.034169999
1413394884005760512,-1.054982000,0.427284000,1.332740000,0.604451864,0.026150994,-0.795481821,0.034098992
1413394884055760384,-1.055035000,0.427263000,1.332748000,0.604432169,0.026073007,-0.795491222,0.034288010
1413394884105760512,-1.055117000,0.427305000,1.332692000,0.604442787,0.026143991,-0.795489720,0.034080988
1413394884155760384,-1.055159000,0.427302000,1.332697000,0.604325171,0.026085009,-0.795574226,0.034239010
1413394884205760512,-1.055140000,0.427362000,1.332751000,0.604489154,0.026042007,-0.795456202,0.034119009
1413394884255760384,-1.055096000,0.427348000,1.332786000,0.604345654,0.026097985,-0.795558544,0.034231980
1413394884305760512,-1.055148000,0.427328000,1.332832000,0.604321323,0.026109014,-0.795578426,0.034191017
1413394884355760384,-1.055173000,0.427252001,1.332893000,0.604252921,0.026258992,-0.795627893,0.034133994
1413394884405760512,-1.055112000,0.427226000,1.332906000,0.604316895,0.026163995,-0.795574862,0.034309994
1413394884455760384,-1.055123000,0.427268000,1.332991000,0.604270162,0.026100007,-0.795619213,0.034153009
1413394884505760512,-1.055212000,0.427208000,1.332975000,0.604116842,0.026116993,-0.795733792,0.034182991
1413394884555760384,-1.055161000,0.427185000,1.332991000,0.604207839,0.026156993,-0.795665789,0.034126991
1413394884605760512,-1.055172000,0.427262000,1.332960000,0.604233788,0.026008991,-0.795650721,0.034131988
1413394884655760384,-1.055200000,0.427294000,1.332934000,0.604261352,0.025965015,-0.795629462,0.034173018
1413394884705760512,-1.055148000,0.427320000,1.332977000,0.604272214,0.026046009,-0.795623282,0.034063012
1413394884755760384,-1.055179000,0.427382000,1.332949000,0.604260864,0.026022994,-0.795635821,0.033988992
1413394884805760512,-1.055174999,0.427337001,1.333035001,0.604270813,0.026066990,-0.795616752,0.034223985
